holiday_indexed,temp,rain_1h,snow_1h,clouds_all,weather_main_indexed,weather_description_indexed,date_time,traffic_volume
0.0,288.28,0.0,0.0,40,0.0,4.0,2012-10-02T09:00:00.000+05:30,5545
0.0,289.36,0.0,0.0,75,0.0,3.0,2012-10-02T10:00:00.000+05:30,4516
0.0,289.58,0.0,0.0,90,0.0,2.0,2012-10-02T11:00:00.000+05:30,4767
0.0,290.13,0.0,0.0,90,0.0,2.0,2012-10-02T12:00:00.000+05:30,5026
0.0,291.14,0.0,0.0,75,0.0,3.0,2012-10-02T13:00:00.000+05:30,4918
0.0,291.72,0.0,0.0,1,1.0,0.0,2012-10-02T14:00:00.000+05:30,5181
0.0,293.17,0.0,0.0,1,1.0,0.0,2012-10-02T15:00:00.000+05:30,5584
0.0,293.86,0.0,0.0,1,1.0,0.0,2012-10-02T16:00:00.000+05:30,6015
0.0,294.14,0.0,0.0,20,0.0,6.0,2012-10-02T17:00:00.000+05:30,5791
0.0,293.1,0.0,0.0,20,0.0,6.0,2012-10-02T18:00:00.000+05:30,4770
0.0,290.97,0.0,0.0,20,0.0,6.0,2012-10-02T19:00:00.000+05:30,3539
0.0,289.38,0.0,0.0,1,1.0,0.0,2012-10-02T20:00:00.000+05:30,2784
0.0,288.61,0.0,0.0,1,1.0,0.0,2012-10-02T21:00:00.000+05:30,2361
0.0,287.16,0.0,0.0,1,1.0,0.0,2012-10-02T22:00:00.000+05:30,1529
0.0,285.45,0.0,0.0,1,1.0,0.0,2012-10-02T23:00:00.000+05:30,963
0.0,284.63,0.0,0.0,1,1.0,0.0,2012-10-03T00:00:00.000+05:30,506
0.0,283.47,0.0,0.0,1,1.0,0.0,2012-10-03T01:00:00.000+05:30,321
0.0,281.18,0.0,0.0,1,1.0,0.0,2012-10-03T02:00:00.000+05:30,273
0.0,281.09,0.0,0.0,1,1.0,0.0,2012-10-03T03:00:00.000+05:30,367
0.0,279.53,0.0,0.0,1,1.0,0.0,2012-10-03T04:00:00.000+05:30,814
0.0,278.62,0.0,0.0,1,1.0,0.0,2012-10-03T05:00:00.000+05:30,2718
0.0,278.23,0.0,0.0,1,1.0,0.0,2012-10-03T06:00:00.000+05:30,5673
0.0,278.12,0.0,0.0,1,1.0,0.0,2012-10-03T08:00:00.000+05:30,6511
0.0,282.48,0.0,0.0,1,1.0,0.0,2012-10-03T09:00:00.000+05:30,5471
0.0,291.97,0.0,0.0,1,1.0,0.0,2012-10-03T12:00:00.000+05:30,5097
0.0,293.23,0.0,0.0,1,1.0,0.0,2012-10-03T13:00:00.000+05:30,4887
0.0,294.31,0.0,0.0,1,1.0,0.0,2012-10-03T14:00:00.000+05:30,5337
0.0,295.17,0.0,0.0,1,1.0,0.0,2012-10-03T15:00:00.000+05:30,5692
0.0,295.13,0.0,0.0,1,1.0,0.0,2012-10-03T16:00:00.000+05:30,6137
0.0,293.66,0.0,0.0,20,0.0,6.0,2012-10-03T18:00:00.000+05:30,4623
0.0,290.65,0.0,0.0,20,0.0,6.0,2012-10-03T19:00:00.000+05:30,3591
0.0,288.19,0.0,0.0,20,0.0,6.0,2012-10-03T20:00:00.000+05:30,2898
0.0,287.1,0.0,0.0,1,1.0,0.0,2012-10-03T21:00:00.000+05:30,2637
0.0,286.25,0.0,0.0,1,1.0,0.0,2012-10-03T22:00:00.000+05:30,1777
0.0,285.26,0.0,0.0,1,1.0,0.0,2012-10-03T23:00:00.000+05:30,1015
0.0,284.55,0.0,0.0,1,1.0,0.0,2012-10-04T00:00:00.000+05:30,598
0.0,283.47,0.0,0.0,1,1.0,0.0,2012-10-04T01:00:00.000+05:30,369
0.0,283.17,0.0,0.0,1,1.0,0.0,2012-10-04T02:00:00.000+05:30,312
0.0,282.04,0.0,0.0,1,1.0,0.0,2012-10-04T03:00:00.000+05:30,367
0.0,281.69,0.0,0.0,1,1.0,0.0,2012-10-04T04:00:00.000+05:30,835
0.0,281.32,0.0,0.0,1,1.0,0.0,2012-10-04T05:00:00.000+05:30,2726
0.0,280.74,0.0,0.0,1,1.0,0.0,2012-10-04T06:00:00.000+05:30,5689
0.0,280.57,0.0,0.0,1,1.0,0.0,2012-10-04T07:00:00.000+05:30,6990
0.0,281.86,0.0,0.0,1,1.0,0.0,2012-10-04T08:00:00.000+05:30,5985
0.0,284.98,0.0,0.0,1,1.0,0.0,2012-10-04T09:00:00.000+05:30,5309
