temp,traffic_volume,rain_1h,snow_1h,clouds_all,date_time
288.28,5545,0.0,0.0,40,2012-10-02T09:00:00.000+05:30
289.36,4516,0.0,0.0,75,2012-10-02T10:00:00.000+05:30
289.58,4767,0.0,0.0,90,2012-10-02T11:00:00.000+05:30
290.13,5026,0.0,0.0,90,2012-10-02T12:00:00.000+05:30
291.14,4918,0.0,0.0,75,2012-10-02T13:00:00.000+05:30
291.72,5181,0.0,0.0,1,2012-10-02T14:00:00.000+05:30
293.17,5584,0.0,0.0,1,2012-10-02T15:00:00.000+05:30
293.86,6015,0.0,0.0,1,2012-10-02T16:00:00.000+05:30
294.14,5791,0.0,0.0,20,2012-10-02T17:00:00.000+05:30
293.1,4770,0.0,0.0,20,2012-10-02T18:00:00.000+05:30
290.97,3539,0.0,0.0,20,2012-10-02T19:00:00.000+05:30
289.38,2784,0.0,0.0,1,2012-10-02T20:00:00.000+05:30
288.61,2361,0.0,0.0,1,2012-10-02T21:00:00.000+05:30
287.16,1529,0.0,0.0,1,2012-10-02T22:00:00.000+05:30
285.45,963,0.0,0.0,1,2012-10-02T23:00:00.000+05:30
284.63,506,0.0,0.0,1,2012-10-03T00:00:00.000+05:30
283.47,321,0.0,0.0,1,2012-10-03T01:00:00.000+05:30
281.18,273,0.0,0.0,1,2012-10-03T02:00:00.000+05:30
281.09,367,0.0,0.0,1,2012-10-03T03:00:00.000+05:30
279.53,814,0.0,0.0,1,2012-10-03T04:00:00.000+05:30
278.62,2718,0.0,0.0,1,2012-10-03T05:00:00.000+05:30
278.23,5673,0.0,0.0,1,2012-10-03T06:00:00.000+05:30
278.12,6511,0.0,0.0,1,2012-10-03T08:00:00.000+05:30
282.48,5471,0.0,0.0,1,2012-10-03T09:00:00.000+05:30
291.97,5097,0.0,0.0,1,2012-10-03T12:00:00.000+05:30
293.23,4887,0.0,0.0,1,2012-10-03T13:00:00.000+05:30
294.31,5337,0.0,0.0,1,2012-10-03T14:00:00.000+05:30
295.17,5692,0.0,0.0,1,2012-10-03T15:00:00.000+05:30
295.13,6137,0.0,0.0,1,2012-10-03T16:00:00.000+05:30
293.66,4623,0.0,0.0,20,2012-10-03T18:00:00.000+05:30
290.65,3591,0.0,0.0,20,2012-10-03T19:00:00.000+05:30
